age,gender,course,exam_difficulty,study_hours,sleep_hours,sleep_quality,study_method,exam_score
24,other,diploma,moderate,3.47,9.4,poor,"group study",39.6
22,male,b.com,easy,3.68,8.7,average,"group study",39.7
23,female,b.com,moderate,2.22,6.2,average,"online videos",39.8
20,other,ba,moderate,1.75,6.1,average,"online videos",39.9
22,male,diploma,moderate,0.99,8.3,poor,"online videos",40
19,male,b.tech,moderate,4.62,6.3,average,"online videos",40.2
21,other,bba,easy,2.45,5.2,poor,self-study,40.7
20,other,diploma,easy,0.08,9.5,good,"online videos",40.8
23,female,bca,moderate,3.44,6.9,poor,mixed,40.8
21,other,diploma,hard,1.6,7.3,poor,coaching,41
17,other,b.com,hard,1.88,6.8,average,mixed,41.1
19,female,ba,easy,3.88,9.6,poor,self-study,41.8
20,other,b.tech,easy,0.4,9.6,average,mixed,42.3
18,female,b.sc,moderate,2.2,8.6,average,coaching,42.5
17,other,b.sc,moderate,0.75,5.1,average,"group study",42.8
19,male,b.sc,moderate,0.45,8.8,average,"group study",42.9
17,female,b.com,easy,1.72,7.3,good,"group study",43
18,other,b.sc,hard,0.95,8.4,average,"group study",43.2
20,female,diploma,moderate,0.89,9.8,poor,coaching,43.7
24,other,bca,easy,1.51,5.3,good,mixed,44.3
22,male,b.sc,hard,2.66,4.1,good,self-study,44.3
22,other,bca,easy,2.96,7.4,average,self-study,44.4
24,male,b.com,hard,1.61,4.1,poor,"online videos",44.7
18,other,bca,easy,2.89,6.6,poor,self-study,44.9
20,female,b.tech,moderate,0.47,8.1,poor,"online videos",45
18,other,diploma,moderate,3.76,5.8,poor,self-study,45
18,other,ba,moderate,0.19,9.7,poor,self-study,45.3
24,other,b.sc,moderate,0.9,9.7,good,self-study,45.4
17,other,b.tech,moderate,1.54,7.2,average,mixed,45.5
20,other,diploma,easy,3.36,8.9,average,self-study,45.6
21,female,bba,moderate,4.27,8.7,poor,self-study,45.7
17,male,bca,moderate,4.03,4.5,average,self-study,45.7
21,female,diploma,moderate,1.09,6.1,average,self-study,45.7
18,other,b.sc,easy,0.28,8.5,good,self-study,46
21,male,b.com,moderate,0.49,4.7,average,mixed,46.2
20,female,b.com,easy,1.17,8,good,"online videos",46.9
18,male,ba,easy,1.44,9.7,average,"group study",47.1
17,male,b.sc,easy,2.08,6.6,good,mixed,47.2
22,male,b.sc,moderate,5.48,8.2,poor,self-study,47.3
19,male,b.tech,moderate,0.91,6.4,average,"group study",47.4
18,male,b.com,easy,3.41,6.9,average,self-study,47.4
22,male,ba,moderate,3.13,6.2,average,"online videos",47.4
22,female,bca,moderate,5.42,4.5,poor,coaching,47.8
17,female,diploma,moderate,1.35,6.5,poor,"group study",48.1
21,other,b.com,moderate,2.54,8.9,average,coaching,48.3
20,female,b.sc,moderate,2.84,7.3,average,"group study",48.5
24,male,diploma,easy,3.71,5.4,average,"online videos",49
17,male,ba,moderate,3.36,6.2,poor,mixed,49
22,other,diploma,moderate,2.69,7.4,poor,coaching,49
21,other,bca,moderate,2.96,5.4,good,coaching,49
18,male,diploma,moderate,0.17,9.5,average,self-study,49.1
20,other,b.tech,moderate,6.94,4.6,good,"group study",49.2
20,male,b.tech,moderate,4.11,4.3,poor,coaching,49.3
22,other,b.tech,easy,3.25,8.3,poor,coaching,49.5
18,male,ba,moderate,2.73,9.9,poor,mixed,49.7
19,other,diploma,moderate,0.68,9.9,poor,mixed,49.9
20,other,b.tech,moderate,4.17,6,good,"online videos",49.9
