age,gender,class_attendance,internet_access,facility_rating,exam_difficulty,exam_score
18,male,73.7,no,high,moderate,69.6
17,other,80.8,yes,low,moderate,69.6
20,male,72,yes,high,hard,69.5
21,other,57.2,yes,high,moderate,69.5
19,male,80.2,yes,medium,easy,69.5
20,other,91.2,yes,low,hard,69.4
22,other,47.9,yes,high,easy,69.4
19,female,83.5,yes,medium,moderate,69.1
23,female,70.7,yes,high,easy,69.1
23,male,84.5,yes,low,moderate,68.9
19,other,73.1,yes,medium,hard,68.8
20,male,50.4,no,low,moderate,68.6
23,male,52.7,yes,medium,moderate,68.4
18,male,48.5,yes,high,easy,68.4
21,female,60.4,yes,medium,easy,68.1
23,female,72,yes,medium,moderate,68.1
19,male,72.3,yes,medium,moderate,67.9
19,female,71.2,yes,low,easy,67.9
19,other,44.7,yes,high,easy,67.9
18,male,94.3,yes,high,easy,67.7
18,other,69.3,yes,medium,moderate,67.6
21,female,96.5,yes,high,easy,67.6
21,other,81.9,no,medium,easy,67.6
22,female,96.6,yes,high,moderate,67.4
19,male,45.5,yes,low,moderate,67.2
17,male,90.3,yes,medium,easy,67.1
24,female,48.8,yes,low,hard,67
23,female,49.2,yes,medium,easy,67
20,female,78.7,yes,low,easy,67
23,male,40.6,yes,low,moderate,67
22,male,91.8,no,high,moderate,66.9
23,male,92.1,yes,low,hard,66.9
19,female,55.5,yes,low,moderate,66.8
19,other,64.2,yes,high,moderate,66.7
19,female,62.3,yes,medium,easy,66.7
17,other,47.3,yes,low,moderate,66.6
18,other,92.5,yes,low,moderate,66.6
19,other,58.6,yes,low,easy,66.5
19,female,44.6,yes,high,moderate,66.3
23,female,47.4,yes,medium,hard,66.1
19,female,54.5,yes,high,easy,66.1
18,male,50.3,yes,high,easy,65.9
21,female,87.8,yes,medium,easy,65.9
22,female,62.7,no,medium,moderate,65.9
22,other,60.1,yes,low,easy,65.8
23,female,59.3,no,low,hard,65.8
20,female,73.1,yes,low,easy,65.8
24,other,83.2,no,high,moderate,65.8
17,other,46.4,yes,high,moderate,65.6
21,male,88,yes,low,easy,65.6
24,female,60.8,no,high,easy,65.4
24,other,68.9,yes,high,moderate,65.4
19,female,69.8,yes,high,easy,65.3
20,other,60.7,no,medium,moderate,65
20,male,77.5,no,low,moderate,64.9
19,other,54.7,yes,low,moderate,64.9
21,male,62,yes,low,moderate,64.7
20,female,97.2,yes,medium,easy,64.7
19,other,54.4,yes,low,easy,64.7
23,other,57.7,yes,medium,easy,64.6
23,female,72.7,yes,high,moderate,64.6
19,female,53.8,no,high,easy,64
22,female,46.4,yes,medium,hard,63.9
18,other,69.3,yes,high,moderate,63.9
23,male,46.2,yes,low,moderate,63.8
18,male,64.5,no,low,moderate,63.8
20,female,75,yes,low,moderate,63.5
21,female,86.9,yes,medium,easy,63.2
19,male,42,yes,low,easy,62.8
24,other,81.1,yes,high,easy,62.7
17,female,86.7,yes,low,moderate,62.6
23,male,72,yes,medium,easy,62.6
23,male,56.7,yes,low,easy,62.4
20,other,72.3,yes,low,moderate,62.2
23,male,92,yes,medium,easy,62.1
20,male,40.6,yes,medium,moderate,62
20,other,94.5,yes,medium,hard,62
24,female,58,no,low,moderate,61.9
24,other,61.1,no,medium,moderate,61.9
18,male,58.5,yes,low,moderate,61.6
17,female,96.2,yes,high,moderate,61.6
22,other,73.8,yes,medium,hard,61.6
18,male,79,yes,high,easy,61.5
23,female,68,yes,medium,easy,61.4
20,other,61.1,yes,high,hard,61.3
21,male,94.7,yes,high,moderate,61.2
23,other,96.1,yes,high,moderate,61.1
19,male,69,yes,high,moderate,61
19,other,70,yes,medium,easy,60.9
19,male,73.9,yes,high,moderate,60.8
20,other,83,yes,low,moderate,60.8
21,male,50,yes,high,hard,60.5
23,other,45,yes,high,moderate,60.4
18,other,76.5,yes,high,hard,60.4
24,female,97.3,yes,high,easy,60.3
17,other,44.5,yes,low,easy,60.2
22,female,57,yes,low,moderate,59.9
23,female,56.1,yes,high,moderate,59.8
21,male,91.6,yes,low,hard,59.7
22,other,53.2,yes,high,moderate,59.6
22,male,45.7,yes,low,moderate,59.5
17,other,86.3,yes,high,moderate,59.4
20,male,61.9,yes,high,hard,59.2
19,female,74.1,yes,high,hard,59.1
19,other,65.8,yes,high,moderate,59.1
19,male,72.1,yes,high,moderate,59
17,male,92.9,yes,low,hard,58.9
19,female,67.3,yes,high,easy,58.9
21,male,54.9,yes,low,hard,58.3
23,male,65.4,yes,low,moderate,58.2
20,female,54.8,yes,medium,easy,58.2
19,female,99.4,yes,high,moderate,57.9
18,other,46.6,yes,medium,easy,57.8
18,female,80.7,yes,high,easy,57.7
22,male,99.4,yes,low,easy,57.6
18,female,59.4,yes,low,moderate,57.6
20,other,40.6,yes,low,easy,57.5
18,male,49.9,no,low,hard,57.5
22,female,57.4,yes,low,moderate,57.4
24,male,44,yes,medium,moderate,57.3
17,male,90.7,yes,low,moderate,57.3
24,female,46.1,yes,medium,moderate,57.2
24,female,92.6,yes,high,moderate,57.2
19,other,80.2,yes,high,easy,57.2
18,other,61.6,yes,medium,easy,57
20,female,90.1,no,low,moderate,57
19,other,53,yes,medium,easy,57
21,other,95.8,no,high,easy,56.9
21,female,79.4,yes,medium,moderate,56.6
23,male,92.9,yes,low,moderate,56.6
23,male,84.6,yes,medium,moderate,56.6
20,male,49.3,yes,low,hard,56.6
20,female,62.7,yes,low,hard,56.5
20,other,49.2,no,high,moderate,56.4
18,female,58.4,yes,high,easy,56.4
23,female,98.1,yes,low,moderate,56.2
24,other,45.9,yes,high,hard,56.1
20,male,76.6,yes,low,hard,55.9
22,female,92.7,yes,medium,easy,55.9
18,male,52.4,yes,low,moderate,55.9
20,other,69.7,yes,high,moderate,55.4
20,male,81.3,no,medium,hard,55.4
21,male,50.4,yes,high,easy,55.2
17,female,93.5,no,low,easy,55
23,other,64.8,yes,medium,moderate,54.8
17,female,92.4,yes,high,easy,54.6
23,male,68.9,yes,high,moderate,54.5
18,female,55.7,yes,low,easy,54.5
21,male,62.9,yes,high,moderate,54.4
20,female,78.4,yes,medium,moderate,54.3
24,other,80.5,yes,low,moderate,54
22,other,44.7,yes,high,moderate,54
17,female,51.6,yes,high,moderate,54
17,female,69,yes,high,hard,53.7
19,male,79.4,yes,low,easy,53.7
22,male,99.4,yes,medium,easy,53.6
18,female,68.7,yes,high,easy,53.6
24,male,96.6,no,medium,easy,53.5
17,female,64.1,yes,medium,moderate,53.5
20,female,75.5,yes,medium,easy,53.5
21,male,64.2,yes,medium,hard,53.3
21,other,75.5,yes,high,easy,53.3
23,female,65.2,no,low,moderate,53.2
20,female,91.7,yes,high,moderate,53.2
24,other,82.6,yes,medium,moderate,53.1
23,male,72.9,yes,medium,moderate,53.1
18,female,93.2,yes,medium,easy,52.8
17,male,40.7,yes,medium,moderate,52.8
24,male,89.1,no,low,moderate,52.6
19,other,59.3,yes,low,moderate,52.4
17,other,67.7,yes,medium,hard,52.3
22,other,42.6,yes,high,moderate,52.2
17,female,75.5,yes,high,moderate,52.2
19,other,70.4,yes,low,easy,52.1
21,female,76.9,yes,high,hard,52.1
23,male,84.5,yes,low,hard,52
21,other,82.1,yes,low,hard,51.9
21,female,85.9,yes,low,easy,51.8
23,other,42,yes,medium,moderate,51.5
22,female,72.8,yes,medium,easy,51.3
17,female,92.2,yes,high,hard,51.3
23,other,93.7,yes,high,hard,51.1
17,female,95.2,yes,low,moderate,51
17,male,61.7,yes,low,easy,50.8
21,female,49.6,yes,high,easy,50.7
19,other,87.2,yes,low,moderate,50.6
17,female,62.5,yes,low,easy,50.6
24,female,59,yes,medium,moderate,50.5
20,male,49,yes,high,easy,50.4
20,other,45.9,yes,low,easy,50.4
22,female,47,yes,medium,moderate,50.3
23,female,81.6,no,high,moderate,50.1
